[SOMMET]
0	DEPART	867	252	null	true	T2	0
4	Vert	916	115	CO	false	J0	2
8	Vert	705	312	AL	false	J0	3
2	Vert	513	334	NR	false	J0	4
3	Vert	655	150	FE	false	J0	5
6	Vert	294	215	NR	false	J0	6
6	Bleu	370	445	NR	false	J0	7
8	Bleu	622	404	AG	false	J0	8
5	Rouge	70	62	NR	false	J0	9
3	Rouge	243	45	AU	false	J0	10
1	Rouge	305	500	FE	false	J0	11
2	Gris	1160	436	AL	false	J0	12
3	Bleu	426	679	TI	false	J0	13
4	Bleu	453	559	FE	false	J0	14
2	Bleu	742	410	AG	false	J0	15
4	Gris	1106	316	TI	false	J0	16
3	Jaune	539	596	AL	false	J0	17
4	Rouge	64	321	NR	false	J0	18
2	Rouge	69	581	NR	false	J0	19
0	Gris	1058	103	AU	false	J0	21
1	Jaune	697	615	NI	false	J0	22
4	Jaune	562	716	NR	false	J0	23
5	Marron	229	790	AG	false	J0	24
3	Marron	322	812	CO	false	J0	25
4	Marron	745	823	NI	false	J0	26
1	Marron	963	776	CO	false	J0	27
3	Gris	988	270	AL	false	J0	28
1	Gris	1111	599	PT	false	J0	29
5	Jaune	854	680	TI	false	J0	30
2	Jaune	724	720	PT	false	J0	31

[ROUTES]
1	2	3	J0
1	2	4	J0
1	3	4	J0
1	2	5	J0
1	4	5	J0
1	6	4	J0
1	6	7	J0
1	7	4	J0
1	7	8	J0
2	9	6	J0
1	9	10	J0
1	10	6	J0
1	11	7	J0
1	12	15	J0
1	13	11	J0
1	13	7	J0
1	13	14	J0
1	14	15	J0
1	14	8	J0
1	16	12	J0
1	8	15	J0
2	18	9	J0
1	18	19	J0
1	11	19	J0
2	2	21	J0
2	21	16	J0
1	22	23	J0
1	23	17	J0
1	24	25	J0
2	24	19	J0
1	25	26	J0
1	26	27	J0
1	28	21	J0
1	29	28	J0
2	29	27	J0
2	29	30	J0
1	31	30	J0
2	30	22	J0
2	31	23	J0
1	22	31	J0
1	1	15	J0
2	1	28	J0
1	17	14	J0
2	13	25	J0
1	1	2	J0
